configuration,validation_accuracy,validation_macro_f1,validation_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1
balanced,0.5280210157618214,0.5205879493653666,0.5195849173588344,0.5034843205574913,0.4975711193486752,0.4954118120392957
custom_1,0.5288966725043783,0.5214471134713371,0.5203710940701674,0.5026132404181185,0.4966750362895514,0.4945983742034871
custom_2,0.5288966725043783,0.5214471134713371,0.5203710940701674,0.5026132404181185,0.4966750362895514,0.4945983742034871
custom_3,0.5288966725043783,0.5214471134713371,0.5203710940701674,0.5026132404181185,0.4966750362895514,0.4945983742034871
