condition,accuracy,macro_f1,weighted_f1
clean,0.5034843205574913,0.4975711193486752,0.4954118120392957
volume_0.5,0.5,0.49357172837838653,0.4910920608940034
volume_1.5,0.48693379790940766,0.47963646450533437,0.4780170673949341
silence_0.25s,0.34581881533101044,0.2944568349496683,0.2913129122842072
short_75pct,0.42160278745644597,0.40315619330864316,0.401223123381988
extended_125pct,0.37717770034843207,0.3312752802114073,0.32880335744887623
normalized,0.39372822299651566,0.35189023912578893,0.3524906662441563
noise_0.02,0.1951219512195122,0.1043818897857099,0.10692778953658089
