,precision,recall,f1-score,support
angry,0.5451127819548872,0.7397959183673469,0.6277056277056277,196.0
disgust,0.45864661654135336,0.3112244897959184,0.3708206686930091,196.0
fear,0.4567901234567901,0.37755102040816324,0.4134078212290503,196.0
happy,0.4311111111111111,0.49489795918367346,0.46080760095011875,196.0
neutral,0.5950920245398773,0.5773809523809523,0.5861027190332326,168.0
sad,0.5226130653266332,0.5306122448979592,0.5265822784810127,196.0
accuracy,0.5034843205574913,0.5034843205574913,0.5034843205574913,0.5034843205574913
macro avg,0.5015609538217755,0.5052437641723356,0.4975711193486752,1148.0
weighted avg,0.49927970819450457,0.5034843205574913,0.4954118120392957,1148.0
