,precision,recall,f1-score,support
angry,0.5415162454873647,0.7653061224489796,0.6342494714587738,196.0
disgust,0.43846153846153846,0.29081632653061223,0.3496932515337423,196.0
fear,0.43373493975903615,0.3673469387755102,0.39779005524861877,196.0
happy,0.42424242424242425,0.5,0.45901639344262296,196.0
neutral,0.5714285714285714,0.5476190476190477,0.5592705167173252,168.0
sad,0.5081967213114754,0.4744897959183674,0.49076517150395776,196.0
accuracy,0.4895470383275261,0.4895470383275261,0.4895470383275261,0.4895470383275261
macro avg,0.4862634067817351,0.4909297052154195,0.48179747665084016,1148.0
weighted avg,0.4841862076440073,0.4895470383275261,0.4799078903077551,1148.0
